iter	RMSE
0	1.244311241
1	1.218166666
2	1.197529189
3	1.173295369
4	1.152957036
5	1.132231583
6	1.106444311
7	1.090347658
8	1.067720259
9	1.047445808
10	1.026672604
11	1.010066247
12	0.9922830382
13	0.9735981724
14	0.9561391321
15	0.9342183183
16	0.9163177603
17	0.9005547711
18	0.8811639802
19	0.8633679622
20	0.8520389939
21	0.8378490199
22	0.8247618596
23	0.8123038708
24	0.8030374243
25	0.7870539411
26	0.7741307729
27	0.7608874386
28	0.7459619903
29	0.7340353316
30	0.7205604122
31	0.714122338
32	0.7023883376
33	0.6925188577
34	0.6812749671
35	0.672288306
36	0.6640993604
37	0.6541334729
38	0.6407002088
39	0.6290768591
40	0.6214403279
41	0.6126794251
42	0.6041447735
43	0.595887518
44	0.5888366543
45	0.5809205634
46	0.5719186428
47	0.5640491044
48	0.5560808847
49	0.5504416703
50	0.5416229794
51	0.5334092251
52	0.527502428
53	0.5218672849
54	0.5152625683
55	0.5130513379
56	0.5059321666
57	0.5014694884
58	0.4924176241
59	0.4868422064
60	0.4805169241
61	0.4743433718
62	0.4678467255
63	0.4642496329
64	0.4576070235
65	0.4515247847
66	0.4455673441
67	0.4409538451
68	0.4349895422
69	0.4303381941
70	0.426859949
71	0.4234764631
72	0.418121594
73	0.4112516616
74	0.4060692655
75	0.4006356033
76	0.3974752178
77	0.393591761
78	0.388721707
79	0.3865588757
80	0.3832403919
81	0.3783396785
82	0.3734052752
83	0.3717897455
84	0.3684146032
85	0.3654767111
86	0.3624863149
87	0.3588182565
88	0.3567417841
89	0.3539534659
90	0.3511690945
91	0.3461621423
92	0.3411940338
93	0.3368005279
94	0.333409956
95	0.3320721945
96	0.3303910545
97	0.3266041443
98	0.3245129273
99	0.3206464684
100	0.3189068758
101	0.3144131233
102	0.312715625
103	0.3090827381
104	0.3060867474
105	0.3031004879
106	0.2998807881
107	0.2977643362
108	0.294735403
109	0.2924385353
110	0.2899113304
111	0.2873975619
112	0.2844944348
113	0.2824957495
114	0.2781411968
115	0.2747068477
116	0.2730426537
117	0.2708670376
118	0.2688846685
119	0.2658753714
120	0.2647531556
121	0.2632718299
122	0.2599275405
123	0.2564619148
124	0.2528870433
125	0.2505336335
126	0.2476927606
127	0.2447706071
128	0.2418642514
129	0.2409819605
130	0.2392736074
131	0.2379942562
132	0.2347586164
133	0.2336157716
134	0.2325495343
135	0.2308707252
136	0.2280694238
137	0.2271981058
138	0.2240072149
139	0.2216084091
140	0.2192548502
141	0.2178429181
142	0.2150947578
143	0.2136391658
144	0.2115316131
145	0.2095511823
146	0.2085327924
147	0.2066744453
148	0.2052228291
149	0.2036655417
150	0.2027432882
151	0.2012445756
152	0.1982037156
153	0.1965658167
154	0.1955642171
155	0.1948003998
156	0.1921038728
157	0.1915265538
158	0.1902365511
159	0.1895491053
160	0.1887398529
161	0.1879843911
162	0.1858590695
163	0.1847221084
164	0.1839983987
165	0.1825463813
166	0.18038028
167	0.179746375
168	0.1776447722
169	0.1760327739
170	0.1741595917
171	0.1721452526
172	0.17007974
173	0.1683337136
174	0.1665318256
175	0.1659257699
176	0.164091742
177	0.1635937001
178	0.162768736
179	0.1619025445
180	0.1613725235
181	0.1595157152
182	0.1584102283
183	0.1569609503
184	0.1564649723
185	0.1561000172
186	0.1543786981
187	0.1538920409
188	0.1527465662
189	0.152166181
190	0.1510199334
191	0.1496865225
192	0.1486917935
193	0.1481044333
194	0.1473219338
195	0.1460935384
196	0.1457752449
197	0.1450616723
198	0.1443216957
199	0.1436393876
200	0.142675266
201	0.1413400754
202	0.1404764167
203	0.1401877072
204	0.1398175424
205	0.1386080237
206	0.1374532257
207	0.1364065093
208	0.1352588882
209	0.1350076662
210	0.1347043232
211	0.1343295574
212	0.1334264036
213	0.131990693
214	0.1317082507
215	0.1310432976
216	0.1305596346
217	0.1302860367
218	0.1300507992
219	0.1293308622
220	0.1285580227
221	0.1274499141
222	0.1272142868
223	0.1259658716
224	0.1248274423
225	0.1238032893
226	0.1226120003
227	0.1223396235
228	0.122044844
229	0.1209446661
230	0.120425134
231	0.1199951537
232	0.1195139378
233	0.1187597885
234	0.1177413769
235	0.117415184
236	0.1171395935
237	0.1165792817
238	0.1160299121
239	0.1156308275
240	0.1149711589
241	0.1146751776
242	0.1140867362
243	0.1134442515
244	0.1130803898
245	0.1128908498
246	0.1126491313
247	0.1124561928
248	0.1122254411
249	0.1120224508
250	0.1118707671
251	0.1115938274
252	0.1114169694
253	0.111220175
254	0.1105644904
255	0.1098259414
256	0.1091524362
