iter	RMSE
257	0.1087497515
258	0.1086068811
259	0.1081799483
260	0.1079839965
261	0.1073262844
262	0.1072122321
263	0.1070426041
264	0.1069593532
265	0.1066098244
266	0.1062060784
267	0.1053215744
268	0.1052165919
269	0.1050914396
270	0.1049345281
271	0.1039842127
272	0.1037022748
273	0.103348136
274	0.1027342166
275	0.1026762002
276	0.1018205158
277	0.1016726372
278	0.1007471788
279	0.1006433475
280	0.1005450084
281	0.1000918107
282	0.09995719131
283	0.09982090076
284	0.09890796708
285	0.09832791696
286	0.09778803656
287	0.09732097021
288	0.09700139211
289	0.09669183349
290	0.09645450239
291	0.09580163159
292	0.09568813252
293	0.09494084818
294	0.09469225604
295	0.09435763827
296	0.09384572839
297	0.09352084981
298	0.09309734151
299	0.09278018603
300	0.09263240019
301	0.09203146128
302	0.09196581269
303	0.09168824313
304	0.09164131776
305	0.09108908176
306	0.09074788032
307	0.0904371822
308	0.08978690559
309	0.08972945771
310	0.08969227736
311	0.08963811011
312	0.08943991788
313	0.08872275254
314	0.088383432
315	0.08812162776
316	0.08778654894
317	0.08756871073
318	0.08706156995
319	0.08695481372
320	0.08684443626
321	0.08651415502
322	0.0861892432
323	0.08579865455
324	0.08527326247
325	0.08484931293
326	0.08472982622
327	0.08412810857
328	0.08377097279
329	0.08349613301
330	0.08343880743
331	0.08337089733
332	0.08291959466
333	0.08253456276
334	0.08195933056
335	0.08161366136
336	0.08144430748
337	0.08129954089
338	0.08108330159
339	0.08070566839
340	0.08007546989
341	0.07971858276
342	0.07965045669
343	0.07935975767
344	0.07903586179
345	0.07871418978
346	0.07858603167
347	0.07834332214
348	0.07804238089
349	0.07757778595
350	0.07731828463
351	0.07707308846
352	0.07650737039
353	0.07629383688
354	0.0761117422
355	0.07605556961
356	0.07566245616
357	0.07544809698
358	0.07498915792
359	0.07439219449
360	0.07415591776
361	0.0737317433
362	0.07325035905
363	0.07309592014
364	0.07277898123
365	0.07248986067
366	0.07214854889
367	0.07193568111
368	0.071507329
369	0.07121968231
370	0.07107285842
371	0.07066504086
372	0.0704052513
373	0.0701909288
374	0.06984701018
375	0.06952585215
376	0.06932189858
377	0.06911027349
378	0.06877129012
379	0.06855161036
380	0.06842475663
381	0.06797999159
382	0.06795387416
383	0.06760374811
384	0.06731042291
385	0.0670030293
386	0.06684140618
387	0.06672651912
388	0.06660529674
389	0.06654416475
390	0.06645947772
391	0.0661705768
392	0.06579238458
393	0.06561595162
394	0.06541119193
395	0.06519305189
396	0.0651402011
397	0.06494323576
398	0.06454487055
399	0.06436577849
400	0.06410974946
401	0.06375125985
402	0.06359482513
403	0.0634844224
404	0.06335374163
405	0.06324601877
406	0.06296771877
407	0.06284333273
408	0.06271801919
409	0.06263899458
410	0.06256599732
411	0.06246646363
412	0.062336013
413	0.06225235435
414	0.06207808297
415	0.06184234119
416	0.06170760295
417	0.06160445383
418	0.06155085885
419	0.06143354485
420	0.06139099724
421	0.06112731862
422	0.06105327778
423	0.06077886627
424	0.0605591236
425	0.06037874615
426	0.06012462042
427	0.05998824857
428	0.05979025696
429	0.05960229942
430	0.05922788582
431	0.05904438887
432	0.05875127498
433	0.05849011935
434	0.05810274625
435	0.05786403796
436	0.05773380003
437	0.05733815063
438	0.05719013404
439	0.05714245147
440	0.05703886544
441	0.05683342774
442	0.05664461786
443	0.05662277343
444	0.05654739328
445	0.05638842156
446	0.05602251088
447	0.05588640937
448	0.05575974275
449	0.05569133473
450	0.05555740962
451	0.05538965751
452	0.05523545349
453	0.05516034619
454	0.05503424012
455	0.05488180888
456	0.05474319935
457	0.0546081865
458	0.05456018888
459	0.05446111197
460	0.05443462897
461	0.05434947351
462	0.0542639518
463	0.05412704502
464	0.05406968546
465	0.05401395073
466	0.05391576235
467	0.05384062316
468	0.05373932484
469	0.05371095956
470	0.05352746788
471	0.05342497531
472	0.05340610811
473	0.0533826118
474	0.05336388226
475	0.05320253624
476	0.05298136529
477	0.05279120879
478	0.05266926439
479	0.05255171899
480	0.0523733066
481	0.05225968055
482	0.0521546286
483	0.05213490667
484	0.05211714696
485	0.05199749425
486	0.05198032954
487	0.05189402777
488	0.05184846334
489	0.05183065736
490	0.0515059091
491	0.05147822441
492	0.05136280859
493	0.05125401532
494	0.05117717628
495	0.05115045076
496	0.05109195637
497	0.05086183573
498	0.05081409385
499	0.05075804089
500	0.05067305779
501	0.0505746676
502	0.05049477722
503	0.05030078919
504	0.05009152959
505	0.05002698523
506	0.04980539048
507	0.04975685304
508	0.04966917151
509	0.0494987225
510	0.0494735156
511	0.049352058
512	0.04926338315
513	0.04915959888
514	0.04910170041
515	0.04895347555
516	0.04868841809
517	0.04847602695
518	0.04839611982
519	0.04833044411
520	0.04826279095
521	0.04822469741
522	0.04810164063
523	0.04792808116
524	0.047883485
525	0.0477739139
526	0.04775471041
527	0.04752583615
528	0.04744021786
529	0.04726194628
530	0.047218794
531	0.04720308071
532	0.0470508635
533	0.04699418944
534	0.04686080239
535	0.04674620986
536	0.04667490393
537	0.0465878797
538	0.04649254341
539	0.04637098666
540	0.04631901408
541	0.04609789439
542	0.04599542321
543	0.04589083013
544	0.04585553074
545	0.0457894561
546	0.04571484929
547	0.04559411906
548	0.04551347809
549	0.04537528194
550	0.04525428093
551	0.04515068196
552	0.04498643537
553	0.04489047247
554	0.04479192077
555	0.04466618727
556	0.04459489415
557	0.04456357993
558	0.04453201934
559	0.04444808229
560	0.04434067808
561	0.04432116974
562	0.0442528477
563	0.04418927835
564	0.04415869811
565	0.04395898641
566	0.04392364293
567	0.04380850345
568	0.04373121224
569	0.0436576914
570	0.04364759374
571	0.04353436994
572	0.04349383906
573	0.04348128906
574	0.04334362802
575	0.04328063482
576	0.0431516016
577	0.04303593228
578	0.04299090193
579	0.04298063554
580	0.0429038346
581	0.04289515284
582	0.04279830948
583	0.04260092319
584	0.04258829296
585	0.0424398219
586	0.04233934849
587	0.04224147928
588	0.04210959251
589	0.04200955088
590	0.04185384746
591	0.04176360609
592	0.04157314849
593	0.04144114416
594	0.04130277635
595	0.04120172836
596	0.04116631376
597	0.04110992921
598	0.0410188606
599	0.04083789721
600	0.04082629287
601	0.04076813681
602	0.04065911338
603	0.04060355049
604	0.04038633748
605	0.04028082727
606	0.04021120795
607	0.04013828748
608	0.04000701276
609	0.03997680348
610	0.03988931298
611	0.03980473773
612	0.03962802857
613	0.03959351336
614	0.03955654808
615	0.03946793669
616	0.03929912986
617	0.03927452819
618	0.03912826805
619	0.03903607958
620	0.03900523183
621	0.03889251669
622	0.03887332159
623	0.03884862131
624	0.03872551436
625	0.03868935478
626	0.038624684
627	0.03853218136
628	0.03846832694
629	0.03842172566
630	0.03832272978
631	0.03830038202
632	0.03819059169
633	0.03807304474
634	0.03804940253
635	0.03799052112
636	0.03791815143
637	0.03791382669
638	0.03785982011
639	0.03780895489
640	0.03774823643
641	0.03773526004
642	0.03772601911
643	0.03766665919
644	0.03761038749
645	0.03742966755
646	0.03741057285
647	0.03739973085
648	0.03730953266
649	0.03730126377
650	0.03721314568
651	0.03716962481
652	0.03705919006
653	0.0369362122
654	0.03692001398
655	0.03690125377
656	0.03689519883
657	0.03678793734
658	0.03673957108
659	0.03667065224
660	0.03662614382
661	0.03656131215
662	0.03655417879
663	0.03639957843
664	0.03628712216
665	0.03623131106
666	0.03619832234
667	0.03619421324
668	0.03605406167
669	0.03592740737
670	0.03579442159
671	0.03576722834
672	0.03563892602
673	0.03562301054
674	0.03556974656
675	0.03543845332
676	0.0353023432
677	0.03524927171
678	0.03519175882
679	0.03516940068
680	0.03511141779
681	0.03501564649
682	0.03497669168
683	0.03486246089
684	0.03466382715
685	0.03456035048
686	0.03455276262
687	0.03444292272
688	0.03440046581
689	0.03423989969
690	0.03413432256
691	0.03410189247
692	0.03407767126
693	0.03403283951
694	0.03396691217
695	0.03387514435
696	0.0337546252
697	0.03374189845
698	0.0337068002
699	0.0335920764
