iter	Passed	Remaining
404	9512	6929
405	9533	6903
406	9554	6878
407	9576	6853
408	9599	6829
409	9621	6805
410	9643	6781
411	9666	6757
412	9692	6735
413	9715	6711
414	9739	6688
415	9765	6666
416	9792	6645
417	9815	6622
418	9838	6598
419	9861	6574
420	9885	6551
421	9910	6528
422	9937	6507
423	9967	6488
424	9998	6469
425	10025	6448
426	10050	6426
427	10082	6407
428	10128	6398
429	10153	6375
430	10178	6352
431	10200	6328
432	10224	6304
433	10247	6280
434	10270	6256
435	10292	6232
436	10318	6209
437	10342	6186
438	10365	6162
439	10390	6140
440	10416	6117
441	10440	6094
442	10464	6070
443	10485	6045
444	10512	6023
445	10536	6000
446	10564	5979
447	10591	5957
448	10618	5935
449	10644	5913
450	10669	5890
451	10694	5867
452	10719	5844
453	10744	5822
454	10768	5798
455	10794	5776
456	10819	5753
457	10846	5731
458	10878	5711
459	10903	5688
460	10928	5665
461	10956	5644
462	10992	5626
463	11026	5608
464	11059	5589
465	11086	5567
466	11115	5545
467	11140	5522
468	11165	5499
469	11194	5478
470	11220	5455
471	11248	5433
472	11282	5414
473	11307	5391
474	11334	5368
475	11363	5347
476	11388	5324
477	11420	5304
478	11452	5283
479	11484	5263
480	11517	5243
481	11542	5220
482	11566	5196
483	11592	5173
484	11626	5153
485	11657	5133
486	11681	5109
487	11705	5085
488	11728	5060
489	11753	5037
490	11779	5013
491	11804	4990
492	11829	4967
493	11855	4943
494	11878	4919
495	11904	4896
496	11928	4872
497	11950	4847
498	11975	4823
499	11999	4799
500	12027	4777
501	12055	4754
502	12080	4731
503	12108	4708
504	12130	4684
505	12154	4659
506	12177	4635
507	12202	4611
508	12226	4587
509	12269	4570
510	12293	4547
511	12316	4522
512	12342	4499
513	12370	4476
514	12393	4451
515	12415	4427
516	12438	4402
517	12461	4378
518	12487	4355
519	12510	4330
520	12532	4305
521	12556	4281
522	12579	4257
523	12604	4233
524	12628	4209
525	12652	4185
526	12675	4161
527	12698	4136
528	12720	4112
529	12744	4087
530	12767	4063
531	12790	4039
532	12814	4015
533	12838	3991
534	12871	3969
535	12904	3948
536	12928	3924
537	12953	3900
538	12976	3876
539	12999	3851
540	13024	3827
541	13046	3803
542	13071	3779
543	13094	3755
544	13118	3730
545	13141	3706
546	13166	3682
547	13189	3658
548	13212	3634
549	13235	3609
550	13258	3585
551	13283	3561
552	13308	3537
553	13332	3513
554	13357	3489
555	13382	3465
556	13407	3442
557	13433	3418
558	13457	3394
559	13483	3370
560	13507	3346
561	13531	3322
562	13554	3298
563	13578	3274
564	13603	3250
565	13627	3226
566	13652	3202
567	13675	3178
568	13700	3154
569	13724	3130
570	13748	3106
571	13772	3081
572	13795	3057
573	13820	3033
574	13842	3009
575	13865	2984
576	13888	2960
577	13912	2936
578	13937	2912
579	13961	2888
580	13984	2864
581	14010	2840
582	14034	2816
583	14057	2792
584	14080	2768
585	14103	2743
586	14126	2719
587	14150	2695
588	14172	2670
589	14196	2646
590	14220	2622
591	14244	2598
592	14267	2574
593	14291	2550
594	14315	2526
595	14339	2502
